;Database,NILUBASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Comments,Reflectance was converted to exact normalised radiance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Source,NIVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Acknowledgements,"Dominique Durand, Jo Hoekedal, Kai Sorensen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Reference,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Elevation,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Missing,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DDS_ID,DDS_NAME,Year,Month,Date,Hour,Minute,Longitude,Latitude,Depth,Chla_hplc,Chla_fluor,Kd490,TSM,acdm443,bbp443,T865,exLwn412,exLwn443,exLwn490,exLwn510,exLwn531,exLwn555,exLwn620,exLwn670,exLwn681,exLwn709,Flag,Campaign,Comments
ID,ii,dds_name,YYYY,MM,DD,hh,mm,decimal_degrees,decimal_degrees,metre,mg/m3,mg/m3,1/m,g/m3,1/m,1/m,None,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,BinaryCode,Cruisename,None
String,Integer,String,Long,Integer,Integer,Integer,Integer,Float,Float,Float,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Long,String,String
NI00-00001,0,XDDS,2002,5,7,9,55,10.631,58.9815,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0067172,0.010864,0.019629,0.02322,NaN,0.027702,0.012883,0.0090247,NaN,NaN,NA,NA,412_443_490_510_555_620_665
NI00-00002,0,XDDS,2002,5,7,10,44,10.631,58.9815,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002104,0.003404,0.006149,0.007274,NaN,0.008678,NaN,0.002827,NaN,NaN,NA,NA,412_443_490_510_555_620_666
NI00-00003,0,XDDS,2002,5,13,11,6,10.4828,58.7717,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0080937,0.011193,0.018232,0.020108,NaN,0.020137,0.0055876,0.0036602,NaN,NaN,NA,NA,412_443_490_510_555_620_667
NI00-00004,0,XDDS,2002,5,14,9,25,12.26,54.45,0,0.79,NaN,NaN,NaN,NaN,NaN,NaN,0.001508,0.004401,0.005237,NaN,NaN,0.001792,0.000959,0.001117,NaN,NaN,NA,NA,412_443_490_510_555_620_668
NI00-00005,0,XDDS,2002,5,14,10,5,10.8155,58.7947,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0079965,0.010946,0.017635,0.019389,NaN,0.019716,0.005615,0.0036044,NaN,NaN,NA,NA,412_443_490_510_555_620_669
NI00-00006,0,XDDS,2002,5,15,10,40,13.5,54.92,0,1.72,NaN,NaN,NaN,NaN,NaN,NaN,0.001009,0.00309,0.003664,NaN,NaN,0.001383,0.000741,0.000845,NaN,NaN,NA,NA,412_443_490_510_555_620_670
NI00-00007,0,XDDS,2002,5,16,9,16,14.11,54.08,0,2.11,NaN,NaN,NaN,NaN,NaN,NaN,0.00098,0.00494,0.006447,NaN,NaN,0.004128,0.00246,0.002561,NaN,NaN,NA,NA,412_443_490_510_555_620_671
NI00-00008,0,XDDS,2002,5,17,9,25,12.04,54.32,0,0.75,NaN,NaN,NaN,NaN,NaN,NaN,0.001626,0.005437,0.006401,NaN,NaN,0.001901,0.001022,0.000924,NaN,NaN,NA,NA,412_443_490_510_555_620_672
NI00-00009,0,XDDS,2002,5,25,13,23,4.8278,60.7628,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0035586,0.047993,0.0071919,0.007506,NaN,0.0070853,0.0020299,0.0013679,NaN,NaN,NA,NA,412_443_490_510_555_620_673
NI00-00010,0,XDDS,2002,5,28,10,43,6.2103,62.8269,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0037834,0.0042956,0.0053978,0.0053349,NaN,0.0042866,0.00098844,0.00065388,NaN,NaN,NA,NA,412_443_490_510_555_620_674
NI00-00011,0,XDDS,2002,5,29,11,19,2.6681,61.7486,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014728,0.015471,0.019229,0.019328,NaN,0.016596,0.0029376,0.0018275,NaN,NaN,NA,NA,412_443_490_510_555_620_675
NI00-00012,0,XDDS,2002,6,4,11,1,10.466,58.9307,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0092171,0.01283,0.021155,0.023994,NaN,0.027354,0.0074625,0.0049308,NaN,NaN,NA,NA,412_443_490_510_555_620_676
NI00-00013,0,XDDS,2002,6,4,11,5,10.466,58.9307,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0092171,0.01283,0.021155,0.023994,NaN,0.027354,0.0074625,0.0049308,NaN,NaN,NA,NA,412_443_490_510_555_620_677
NI00-00014,0,XDDS,2002,6,11,10,30,11.78,54.25,0,1.38,NaN,NaN,NaN,NaN,NaN,NaN,0.001936,0.006048,0.006991,NaN,NaN,0.002568,0.001489,0.001399,NaN,NaN,NA,NA,412_443_490_510_555_620_678
NI03-00015,3,VeniceTower,2002,6,20,9,16,12.51,45.31,0,1.08,NaN,NaN,NaN,NaN,NaN,NaN,0.010379,0.011578,0.014076,0.014136,NaN,0.012931,NaN,0.0023163,NaN,NaN,NA,NA,412_443_490_510_555_620_679
