;Database,NOMAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Comments,wavelengths in the original database 411_443_489_510_530_555_619_670_683 Depth from ETOPO2. f/Q correction applied at UoP. Acdm=ad+ag+ap. Flags and Comments column contain original NOMAD Flags and IDs respectively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Source,http://seabass.gsfc.nasa.gov/data/nomad_seabass_v1.3_2005262.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Acknowledgements,NASA NOMAD and SeaBASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Reference,Werdell P.J. and S.W. Bailey (2005) RSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Elevation,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Missing,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DDS_ID,DDS_NAME,Year,Month,Date,Hour,Minute,Longitude,Latitude,Depth,Chla_hplc,Chla_fluor,Kd490,TSM,acdm443,bbp443,T865,exLwn412,exLwn443,exLwn490,exLwn510,exLwn531,exLwn555,exLwn620,exLwn670,exLwn681,exLwn709,Flag,Campaign,Comments
ID,ii,dds_name,YYYY,MM,DD,hh,mm,decimal_degrees,decimal_degrees,metre,mg/m3,mg/m3,1/m,g/m3,1/m,1/m,None,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,BinaryCode,Cruisename,None
String,Integer,String,Long,Integer,Integer,Integer,Integer,Float,Float,Float,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Long,String,String
NO13-00001,13,Palmer,1991,12,3,17,43,-64.0599976,-64.7799988,0,NaN,1.21,0.0746029,NaN,NaN,NaN,NaN,0.8363987,0.7392488,0.763093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5728
NO13-00002,13,Palmer,1991,12,3,18,0,-64.0599976,-64.7799988,0,NaN,1.21,0.0665444,NaN,NaN,NaN,NaN,1.0174241,0.8847455,0.9225426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5729
NO13-00003,13,Palmer,1991,12,5,12,50,-64.0400009,-64.8099976,0,NaN,0.89,0.052057,NaN,NaN,NaN,NaN,1.0640558,0.9163199,0.9627483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5730
NO13-00004,13,Palmer,1991,12,5,13,55,-64.0500031,-64.8000031,0,NaN,1.1,0.0504449,NaN,NaN,NaN,NaN,0.9930146,0.9174425,0.7610416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5731
NO13-00005,13,Palmer,1991,12,16,15,40,-64.0400009,-64.8199997,0,NaN,2.4649999,0.0673862,NaN,NaN,NaN,NaN,0.7322168,0.6748665,0.6587834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5732
NO13-00006,13,Palmer,1991,12,16,16,4,-64.0500031,-64.8099976,0,NaN,3.6900001,0.0939233,NaN,NaN,NaN,NaN,0.6865928,0.6302235,0.6201485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5733
NO13-00007,13,Palmer,1991,12,16,16,30,-64.0699997,-64.7900009,0,NaN,5.3299999,0.126679,NaN,NaN,NaN,NaN,0.5724336,0.5173727,0.4998853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5734
NO13-00008,13,Palmer,1991,12,16,16,49,-64.0699997,-64.7799988,0,NaN,1.785,0.0824132,NaN,NaN,NaN,NaN,0.8129159,0.7462404,0.7270936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5735
NO13-00009,13,Palmer,1991,12,18,16,31,-64.0400009,-64.8199997,0,NaN,0.65,0.0565401,NaN,NaN,NaN,NaN,0.8847928,0.8186286,0.8124594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5736
NO13-00010,13,Palmer,1991,12,18,16,49,-64.0500031,-64.8099976,0,NaN,1.34,0.0871556,NaN,NaN,NaN,NaN,0.7225037,0.62968,0.6540215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5737
NO13-00011,13,Palmer,1991,12,18,17,10,-64.0699997,-64.7900009,0,NaN,2.5699999,0.162537,NaN,NaN,NaN,NaN,0.5783206,0.4647685,0.5049166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5738
NO13-00012,13,Palmer,1991,12,18,17,36,-64.0599976,-64.7699966,0,NaN,1.53,0.123895,NaN,NaN,NaN,NaN,1.2488616,1.212635,1.2089605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5739
NO13-00013,13,Palmer,1991,12,21,12,54,-64.0699997,-64.7799988,0,NaN,8.9949999,0.271488,NaN,NaN,NaN,NaN,0.3869026,0.3120156,0.3614148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5740
NO13-00014,13,Palmer,1991,12,23,16,34,-64.0699997,-64.7799988,0,NaN,4.8600001,0.307383,NaN,NaN,NaN,NaN,0.4709203,0.4123877,0.4303664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16579,palmer_lter,5741
