;Database,OBPG VALIDATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Comments,The exact normalisation was performed at NASA using theoretical Es (there may be some overlapping of data with NOMAD). Comments column contain actual OBPG IDs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Source,http://seabass.gsfc.nasa.gov/matchup/seawifs/all.seawifs.stats+http://seabass.gsfc.nasa.gov/matchup/seawifs/all.aqua.stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Acknowledgements,"NASA, SeaBASS, OBPG, All contributors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Reference,http://seabass.gsfc.nasa.gov/matchup_results.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Elevation,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Missing,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DDS_ID,DDS_NAME,Year,Month,Date,Hour,Minute,Longitude,Latitude,Depth,Chla_hplc,Chla_fluor,Kd490,TSM,acdm443,bbp443,T865,exLwn412,exLwn443,exLwn490,exLwn510,exLwn531,exLwn555,exLwn620,exLwn670,exLwn681,exLwn709,Flag,Campaign,Comments
ID,ii,dds_name,YYYY,MM,DD,hh,mm,decimal_degrees,decimal_degrees,metre,mg/m3,mg/m3,1/m,g/m3,1/m,1/m,None,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,BinaryCode,Cruisename,None
String,Integer,String,Long,Integer,Integer,Integer,Integer,Float,Float,Float,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Long,String,String
OB00-00001,0,XDDS,1997,9,2,15,51,-76.0671997,37.5732994,0,NaN,23.4599991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,ties9703,8294
OB00-00002,0,XDDS,1997,9,2,17,10,-76.0896988,37.8120003,0,NaN,10.5900002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,ties9703,8298
OB00-00003,0,XDDS,1997,9,2,18,18,-76.1488037,37.8322983,0,NaN,13.9099998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,ties9703,8300
OB00-00004,0,XDDS,1997,9,2,20,0,-76.1455002,37.8821983,0,NaN,14.3999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,ties9703,8302
OB00-00005,0,XDDS,1997,9,20,12,59,-19.9500008,42.6306992,0,0.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,amt5,24593
OB00-00006,0,XDDS,1997,9,20,14,5,-19.9671993,42.4500008,0,0.126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,amt5,24594
OB00-00007,0,XDDS,1997,9,26,14,7,-20.9944,28.6341,0,0.058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,amt5,24626
OB00-00008,0,XDDS,1997,9,27,11,29,-20.9995003,24.1392002,0,NaN,NaN,0.034,NaN,NaN,NaN,NaN,1.326278,1.337783,1.084695,0.666158,NaN,0.292082,NaN,0.017,NaN,NaN,NA,amt5,23186
OB00-00009,0,XDDS,1997,10,2,18,3,-120.8150024,34.3320007,0,0.57,0.721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,cal9709,2244
OB00-00010,0,XDDS,1997,10,2,22,43,-121.1569977,34.1570015,0,0.257,0.322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,cal9709,2245
OB04-00011,4,BATS,1997,10,7,15,51,-64.1259995,31.6539993,0,NaN,NaN,0.02483,NaN,NaN,NaN,NaN,2.065865,1.87752,1.317674,0.701669,NaN,0.253795,NaN,0.00937,NaN,NaN,NA,bats109,5469
OB00-00012,0,XDDS,1997,10,7,22,5,-125.0429993,1.97,0,NaN,0.098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,gp6-97-ka,20100
OB00-00013,0,XDDS,1997,10,8,10,24,35.5900002,42.9599991,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.480262,0.65162,0.901487,0.875983,NaN,0.700013,NaN,0.0796,NaN,NaN,NA,akwanavt_9,18784
OB00-00014,0,XDDS,1997,10,9,16,23,-68.3921967,41.8125,0,NaN,1.243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,en307,13690
OB00-00015,0,XDDS,1997,10,11,15,31,-67.514801,42.5880013,0,NaN,1.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,en307,13692
OB00-00016,0,XDDS,1997,10,11,9,32,25.1100006,39.2900009,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.759859,0.877596,0.800707,0.55372,NaN,0.273949,NaN,0.0339,NaN,NaN,NA,akwanavt_9,18786
