;Database,AbuAlBukhoosh-SEAPRISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Comments,Above water measurement Level 1.5 Screened data DATA USAGE: Due to the research and development phase characterizing AERONET Ocean Color. AOT869 and AOT870 was used for T865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Source,AERONET-Ocean Color Data Download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Acknowledgements,PI(s):Giuseppe_Zibordi giuseppe.zibordi@jrc.it ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Reference,http://aeronet.gsfc.nasa.gov/cgi-bin/type_one_station_seaprism_new?site=Abu_Al_Bukhoosh&nachal=2&level=2&place_code=10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Elevation,24.50m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Missing,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DDS_ID,DDS_NAME,Year,Month,Date,Hour,Minute,Longitude,Latitude,Depth,Chla_hplc,Chla_fluor,Kd490,TSM,acdm443,bbp443,T865,exLwn412,exLwn443,exLwn490,exLwn510,exLwn531,exLwn555,exLwn620,exLwn670,exLwn681,exLwn709,Flag,Campaign,Comments
ID,number,dds_name,YYYY,MM,DD,hh,mm,decimal_degrees,decimal_degrees,metre,mg/m3,mg/m3,1/m,g/m3,1/m,1/m,None,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,BinaryCode,Cruisename,None
String,Integer,String,Long,Integer,Integer,Integer,Integer,Float,Float,Float,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Long,String,String
AS18-00001,18,AbuAlBukhoos,2004,10,11,4,46,53.145833,25.495,0,NaN,1.324604,NaN,NaN,NaN,NaN,0.201836,0.198411,0.255061,NaN,NaN,NaN,0.268747,NaN,0.041584,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00002,18,AbuAlBukhoos,2004,10,12,3,47,53.145833,25.495,0,NaN,2.63922,NaN,NaN,NaN,NaN,0.14654,0.047239,0.097225,NaN,NaN,NaN,0.223204,NaN,0.01097,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00003,18,AbuAlBukhoos,2004,10,13,4,16,53.145833,25.495,0,NaN,2.196906,NaN,NaN,NaN,NaN,0.152824,0.173669,0.200174,NaN,NaN,NaN,0.287495,NaN,0.0417,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00004,18,AbuAlBukhoos,2004,10,13,4,45,53.145833,25.495,0,NaN,2.236331,NaN,NaN,NaN,NaN,0.155552,0.20052,0.261385,NaN,NaN,NaN,0.330891,NaN,0.061525,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00005,18,AbuAlBukhoos,2004,10,23,4,43,53.145833,25.495,0,NaN,0.960125,NaN,NaN,NaN,NaN,0.177231,0.300791,0.362151,NaN,NaN,NaN,0.307351,NaN,0.02748,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00006,18,AbuAlBukhoos,2004,10,28,8,45,53.145833,25.495,0,NaN,1.427954,NaN,NaN,NaN,NaN,0.224074,0.398828,0.457789,NaN,NaN,NaN,0.41908,NaN,0.053213,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00007,18,AbuAlBukhoos,2004,10,29,3,43,53.145833,25.495,0,NaN,1.232949,NaN,NaN,NaN,NaN,0.243165,0.084453,0.079156,NaN,NaN,NaN,0.187613,NaN,-0.008089,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00008,18,AbuAlBukhoos,2004,10,30,3,43,53.145833,25.495,0,NaN,1.954854,NaN,NaN,NaN,NaN,0.156307,-0.035335,0.031927,NaN,NaN,NaN,0.192393,NaN,-0.00294,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00009,18,AbuAlBukhoos,2004,10,30,4,24,53.145833,25.495,0,NaN,1.498059,NaN,NaN,NaN,NaN,0.158713,0.105079,0.250852,NaN,NaN,NaN,0.296278,NaN,0.040692,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00010,18,AbuAlBukhoos,2004,10,30,4,43,53.145833,25.495,0,NaN,1.387201,NaN,NaN,NaN,NaN,0.161078,0.219772,0.284512,NaN,NaN,NaN,0.303652,NaN,0.052309,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00011,18,AbuAlBukhoos,2004,10,30,8,45,53.145833,25.495,0,NaN,1.324393,NaN,NaN,NaN,NaN,0.185752,0.406215,0.441952,NaN,NaN,NaN,0.414891,NaN,0.074743,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00012,18,AbuAlBukhoos,2004,10,31,3,43,53.145833,25.495,0,NaN,1.823008,NaN,NaN,NaN,NaN,0.114223,0.110489,0.155553,NaN,NaN,NaN,0.268773,NaN,0.02558,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00013,18,AbuAlBukhoos,2004,10,31,4,13,53.145833,25.495,0,NaN,1.366568,NaN,NaN,NaN,NaN,0.116008,0.200543,0.328135,NaN,NaN,NaN,0.319065,NaN,0.048117,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00014,18,AbuAlBukhoos,2004,11,1,4,43,53.145833,25.495,0,NaN,2.782824,NaN,NaN,NaN,NaN,0.236737,0.165098,0.194481,NaN,NaN,NaN,0.355645,NaN,0.058224,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00015,18,AbuAlBukhoos,2004,11,3,3,43,53.145833,25.495,0,NaN,1.868717,NaN,NaN,NaN,NaN,0.139454,0.027265,0.073214,NaN,NaN,NaN,0.196608,NaN,0.009024,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00016,18,AbuAlBukhoos,2004,11,7,8,45,53.145833,25.495,0,NaN,1.11223,NaN,NaN,NaN,NaN,0.092114,0.387158,0.435256,NaN,NaN,NaN,0.377152,NaN,0.056045,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00017,18,AbuAlBukhoos,2004,11,8,5,24,53.145833,25.495,0,NaN,1.06262,NaN,NaN,NaN,NaN,0.080241,0.292848,0.32624,NaN,NaN,NaN,0.32794,NaN,0.036217,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00018,18,AbuAlBukhoos,2004,11,9,5,24,53.145833,25.495,0,NaN,1.111236,NaN,NaN,NaN,NaN,0.096816,0.26629,0.314808,NaN,NaN,NaN,0.330955,NaN,0.030012,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00019,18,AbuAlBukhoos,2004,11,9,8,45,53.145833,25.495,0,NaN,1.072588,NaN,NaN,NaN,NaN,0.110721,0.337819,0.379117,NaN,NaN,NaN,0.342894,NaN,0.033642,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00020,18,AbuAlBukhoos,2004,11,10,4,13,53.145833,25.495,0,NaN,1.317339,NaN,NaN,NaN,NaN,0.122381,0.078342,0.131192,NaN,NaN,NaN,0.209812,NaN,0.005364,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00021,18,AbuAlBukhoos,2004,11,10,8,45,53.145833,25.495,0,NaN,1.02936,NaN,NaN,NaN,NaN,0.120969,0.346094,0.355157,NaN,NaN,NaN,0.319405,NaN,0.038197,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00022,18,AbuAlBukhoos,2004,11,11,5,25,53.145833,25.495,0,NaN,0.877607,NaN,NaN,NaN,NaN,0.130081,0.237489,0.306135,NaN,NaN,NaN,0.28532,NaN,0.022859,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00023,18,AbuAlBukhoos,2004,11,11,8,45,53.145833,25.495,0,NaN,1.185067,NaN,NaN,NaN,NaN,0.098575,0.336714,0.360173,NaN,NaN,NaN,0.307268,NaN,0.044712,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00024,18,AbuAlBukhoos,2004,11,12,5,25,53.145833,25.495,0,NaN,0.776703,NaN,NaN,NaN,NaN,0.144357,0.252104,0.315653,NaN,NaN,NaN,0.297973,NaN,0.035067,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00025,18,AbuAlBukhoos,2004,11,12,5,45,53.145833,25.495,0,NaN,1.032866,NaN,NaN,NaN,NaN,0.143973,0.289026,0.423282,NaN,NaN,NaN,0.350529,NaN,0.071261,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00026,18,AbuAlBukhoos,2004,11,12,7,45,53.145833,25.495,0,NaN,-0.022797,NaN,NaN,NaN,NaN,0.117731,0.33414,0.44528,NaN,NaN,NaN,0.050141,NaN,0.074374,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00027,18,AbuAlBukhoos,2004,11,27,5,29,53.145833,25.495,0,NaN,1.502749,NaN,NaN,NaN,NaN,0.209489,0.455475,0.461371,NaN,NaN,NaN,0.478523,NaN,0.077694,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00028,18,AbuAlBukhoos,2004,11,27,5,49,53.145833,25.495,0,NaN,1.700426,NaN,NaN,NaN,NaN,0.20759,0.28789,0.383135,NaN,NaN,NaN,0.50285,NaN,0.074155,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
AS18-00029,18,AbuAlBukhoos,2004,11,29,5,30,53.145833,25.495,0,NaN,3.008644,NaN,NaN,NaN,NaN,0.294154,0.404801,0.454733,NaN,NaN,NaN,0.705119,NaN,0.116825,NaN,NaN,NA,AERONET_SEAPRISM,413_440_675_T869
