;Database,BOUSSOLE-BUOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Comments,Reflectance data was converted to exact normalised radiance; some Lwn555 data are replaced by Lwn560 when Lwn555 data is unavailable and Lwn670 is actually Lwn665 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Source,Boussole Buoy data from LOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Acknowledgements,PI(s):David Antoine antoine@obs-vlfr.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Reference,Personal communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Elevation,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Missing,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DDS_ID,DDS_NAME,Year,Month,Date,Hour,Minute,Longitude,Latitude,Depth,Chla_hplc,Chla_fluor,Kd49,TSM,acdm443,bbp443,T865,exLwn412,exLwn443,exLwn49,exLwn51,exLwn531,exLwn555,exLwn620,exLwn670,exLwn681,exLwn709,Flag,Campaign,Comments
ID,number,dds_name,YYYY,MM,DD,hh,mm,decimal_degrees,decimal_degrees,metre,mg/m3,mg/m3,1/m,g/m3,1/m,1/m,None,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,BinaryCode,Cruisename,None
String,Integer,String,Long,Integer,Integer,Integer,Integer,Float,Float,Float,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Long,String,String
BB02-00001,2,BOUSSOLE,2003,9,6,12,15,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00002,2,BOUSSOLE,2003,9,6,12,30,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00003,2,BOUSSOLE,2003,9,6,12,45,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00004,2,BOUSSOLE,2003,9,6,13,0,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00005,2,BOUSSOLE,2003,9,6,13,15,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00006,2,BOUSSOLE,2003,9,6,13,30,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00007,2,BOUSSOLE,2003,9,6,13,45,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00008,2,BOUSSOLE,2003,9,6,14,0,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00009,2,BOUSSOLE,2003,9,6,14,15,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00010,2,BOUSSOLE,2003,9,6,14,30,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00011,2,BOUSSOLE,2003,9,6,14,45,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00012,2,BOUSSOLE,2003,9,7,10,0,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00013,2,BOUSSOLE,2003,9,7,10,15,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00014,2,BOUSSOLE,2003,9,7,10,30,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00015,2,BOUSSOLE,2003,9,7,10,45,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00016,2,BOUSSOLE,2003,9,7,11,0,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00017,2,BOUSSOLE,2003,9,7,11,15,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00018,2,BOUSSOLE,2003,9,7,11,30,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00019,2,BOUSSOLE,2003,9,7,11,45,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00020,2,BOUSSOLE,2003,9,7,12,0,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00021,2,BOUSSOLE,2003,9,7,12,15,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00022,2,BOUSSOLE,2003,9,7,12,30,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00023,2,BOUSSOLE,2003,9,7,12,45,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00024,2,BOUSSOLE,2003,9,7,13,0,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00025,2,BOUSSOLE,2003,9,7,13,15,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00026,2,BOUSSOLE,2003,9,7,13,30,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00027,2,BOUSSOLE,2003,9,7,13,45,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00028,2,BOUSSOLE,2003,9,7,14,0,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00029,2,BOUSSOLE,2003,9,7,14,15,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00030,2,BOUSSOLE,2003,9,7,14,30,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00031,2,BOUSSOLE,2003,9,7,14,45,7.9,43.366,0,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00032,2,BOUSSOLE,2003,9,8,10,0,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00033,2,BOUSSOLE,2003,9,8,10,15,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
BB02-00034,2,BOUSSOLE,2003,9,8,10,30,7.9,43.366,0,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,Boussole_Buoy,0
