;Database,BOUSSOLE-SPMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Comments,Normalised (Gordon & Clark) radiance was provided by LOV (f/Q correction applied at UoP); Lwn443 is actually Lwn442. wn555 is actually Lwn560. Lwn670 is actually Lwn665. Chla_fluor is actually reconstructed surface Chlorophyll.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Source,Boussole SPMR data from LOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Acknowledgements,PI(s):David Antoine antoine@obs-vlfr.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Reference,Personal communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Elevation,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Missing,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DDS_ID,DDS_NAME,Year,Month,Date,Hour,Minute,Longitude,Latitude,Depth,Chla_hplc,Chla_fluor,Kd490,TSM,acdm443,bbp443,T865,exLwn412,exLwn443,exLwn490,exLwn510,exLwn531,exLwn555,exLwn620,exLwn670,exLwn681,exLwn709,Flag,Campaign,Comments
ID,number,dds_name,YYYY,MM,DD,hh,mm,decimal_degrees,decimal_degrees,metre,mg/m3,mg/m3,1/m,g/m3,1/m,1/m,None,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,BinaryCode,Cruisename,None
String,Integer,String,Long,Integer,Integer,Integer,Integer,Float,Float,Float,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Long,String,String
BS02-00001,2,BOUSSOLE,2001,7,22,14,5,7.9000001,43.3666992,0,0.1183,NaN,0.02783,NaN,NaN,NaN,NaN,1.046245579,0.997032017,0.878096,0.638425993,0.469192765,0.286204461,0.041235168,0.023982264,0.020559427,0.009363783,NA,BOUSSOLE-SPMR,None
BS02-00002,2,BOUSSOLE,2001,7,22,14,18,7.9000001,43.3666992,0,0.1183,NaN,0.05007,NaN,NaN,NaN,NaN,1.111344062,1.079883566,0.951480323,0.645255256,0.489040448,0.290203198,0.043509217,0.024722545,0.017254067,0.005964677,NA,BOUSSOLE-SPMR,None
BS02-00003,2,BOUSSOLE,2001,7,22,15,11,7.9000001,43.3666992,0,0.1167,NaN,0.063,NaN,NaN,NaN,NaN,1.126895219,1.085922965,0.93079525,0.653227947,0.477463672,0.28095916,0.04662672,0.028750528,0.022716782,0.011864381,NA,BOUSSOLE-SPMR,None
BS02-00004,2,BOUSSOLE,2001,7,23,11,25,7.9046998,43.3667984,0,0.117,NaN,0.05128,NaN,NaN,NaN,NaN,0.636332821,0.615501982,0.557698516,0.400332731,0.303790584,0.17883034,0.031060634,0.019140202,0.015893705,0.007139498,NA,BOUSSOLE-SPMR,None
BS02-00005,2,BOUSSOLE,2001,7,23,11,32,7.9046998,43.3667984,0,0.117,NaN,0.05225,NaN,NaN,NaN,NaN,0.605666183,0.592848571,0.542746119,0.392714468,0.292704074,0.176350659,0.030187587,0.018368777,0.015353107,0.006799488,NA,BOUSSOLE-SPMR,None
BS02-00006,2,BOUSSOLE,2001,7,23,12,35,7.9046998,43.3667984,0,0.117,NaN,0.05643,NaN,NaN,NaN,NaN,0.582815409,0.561400753,0.506680686,0.369782196,0.22626237,0.163336029,0.025108724,0.013857748,0.010212098,0.003560424,NA,BOUSSOLE-SPMR,None
BS02-00007,2,BOUSSOLE,2001,7,23,14,6,7.9106002,43.3728981,0,0.116,NaN,0.05898,NaN,NaN,NaN,NaN,1.014666188,0.961060285,0.852420275,0.611877981,0.454736255,0.365608625,0.041196825,0.026173721,0.021785778,0.009875583,NA,BOUSSOLE-SPMR,None
BS02-00008,2,BOUSSOLE,2001,7,23,14,22,7.9166002,43.3791008,0,0.116,NaN,0.04948,NaN,NaN,NaN,NaN,1.037641534,1.006809329,0.926090814,0.661337949,0.508761598,0.300658458,0.046880377,0.029631011,0.023965215,0.011891678,NA,BOUSSOLE-SPMR,None
BS02-00009,2,BOUSSOLE,2001,7,23,14,34,7.9212999,43.3799019,0,0.1152,NaN,0.06146,NaN,NaN,NaN,NaN,0.873247596,0.859326626,0.795217392,0.559047014,0.416472984,0.236535775,0.032597251,0.01937802,0.014725632,0.006914577,NA,BOUSSOLE-SPMR,None
BS02-00010,2,BOUSSOLE,2001,7,23,15,8,7.9239998,43.3801994,0,0.1152,NaN,0.06654,NaN,NaN,NaN,NaN,0.964957867,0.944056324,0.877446021,0.634845636,0.481875419,0.281194777,0.043258809,0.025479296,0.018510649,0.009099112,NA,BOUSSOLE-SPMR,None
BS02-00011,2,BOUSSOLE,2001,7,23,15,19,7.9275999,43.3802986,0,0.1152,NaN,0.06605,NaN,NaN,NaN,NaN,0.958472506,0.94003694,0.875025188,0.634712398,0.485813694,0.291061866,0.052786736,0.034313302,0.026111892,0.013072888,NA,BOUSSOLE-SPMR,None
BS02-00012,2,BOUSSOLE,2001,7,24,8,14,7.9000001,43.3666992,0,0.2143,NaN,0.0548,NaN,NaN,NaN,NaN,1.043152857,1.000033082,0.902080872,0.634065066,0.479877495,0.276830219,0.042859421,0.025687736,0.021498847,0.011625241,NA,BOUSSOLE-SPMR,None
BS02-00013,2,BOUSSOLE,2001,7,24,8,26,7.9000001,43.3666992,0,0.1167,NaN,0.04749,NaN,NaN,NaN,NaN,1.15350261,1.127292332,0.978950975,0.648867914,0.486747529,0.28478355,0.043006884,0.024990077,0.018919556,0.008387853,NA,BOUSSOLE-SPMR,None
BS02-00014,2,BOUSSOLE,2001,7,24,8,35,7.9000001,43.3666992,0,0.1167,NaN,0.0386,NaN,NaN,NaN,NaN,1.237218446,1.159536698,0.966304761,0.622399917,0.456189123,0.261755579,0.040539727,0.02355344,0.018545757,0.008921078,NA,BOUSSOLE-SPMR,None
BS02-00015,2,BOUSSOLE,2001,7,24,9,9,7.9000001,43.3666992,0,0.1167,NaN,0.04506,NaN,NaN,NaN,NaN,1.165259202,1.092883206,0.932650907,0.615819244,0.457468,0.264720268,0.041694331,0.024167179,0.019312024,0.010105385,NA,BOUSSOLE-SPMR,None
BS02-00016,2,BOUSSOLE,2001,7,24,11,26,7.9000001,43.3666992,0,0.116,NaN,0.04302,NaN,NaN,NaN,NaN,1.122598878,1.067948606,0.95396941,0.672646274,0.511441861,0.301478889,0.049990786,0.030250178,0.025273602,0.011539875,NA,BOUSSOLE-SPMR,None
BS02-00017,2,BOUSSOLE,2001,7,24,12,2,7.9000001,43.3666992,0,0.116,NaN,0.03997,NaN,NaN,NaN,NaN,1.220719469,1.162761718,1.015168665,0.675584657,0.511601916,0.301493485,0.048061085,0.028419653,0.022882915,0.008910264,NA,BOUSSOLE-SPMR,None
BS02-00018,2,BOUSSOLE,2001,7,24,12,11,7.9000001,43.3666992,0,0.116,NaN,0.03925,NaN,NaN,NaN,NaN,1.260534837,1.211069998,1.043833223,0.682146506,0.509400307,0.297075901,0.045136271,0.026217573,0.021412547,0.010140614,NA,BOUSSOLE-SPMR,None
BS02-00019,2,BOUSSOLE,2001,9,2,8,8,7.9000001,43.3666992,0,0.0231,NaN,0.06466,NaN,NaN,NaN,NaN,1.153496446,1.185300429,1.115186982,0.782925296,0.633670392,0.390681499,0.081323139,0.058077938,0.04615362,0.024139417,NA,BOUSSOLE-SPMR,None
BS02-00020,2,BOUSSOLE,2001,9,2,8,19,7.9000001,43.3666992,0,0.058,NaN,0.06061,NaN,NaN,NaN,NaN,0.915145966,0.895088275,0.830564525,0.606902738,0.481715319,0.288626404,0.065460612,0.03769012,0.025685997,0.013106983,NA,BOUSSOLE-SPMR,None
BS02-00021,2,BOUSSOLE,2001,9,2,8,27,7.9000001,43.3666992,0,0.058,NaN,0.06059,NaN,NaN,NaN,NaN,1.156403737,1.114312575,0.995795753,0.711709263,0.561666694,0.338216456,0.057968109,0.034464099,0.027153705,0.015472842,NA,BOUSSOLE-SPMR,None
BS02-00022,2,BOUSSOLE,2001,9,2,9,2,7.9000001,43.3666992,0,0.058,NaN,0.05656,NaN,NaN,NaN,NaN,1.025031418,1.015538358,0.944785891,0.688670344,0.548526419,0.335812478,0.068624167,0.042807187,0.030616507,0.016628383,NA,BOUSSOLE-SPMR,None
BS02-00023,2,BOUSSOLE,2001,9,2,9,13,7.9000001,43.3666992,0,0.058,NaN,0.05485,NaN,NaN,NaN,NaN,0.997780961,1.000672184,0.913420517,0.649657359,0.513117981,0.311201677,0.056747768,0.035631162,0.027017662,0.013669083,NA,BOUSSOLE-SPMR,None
BS02-00024,2,BOUSSOLE,2001,9,2,9,20,7.9000001,43.3666992,0,0.058,NaN,0.05807,NaN,NaN,NaN,NaN,1.148510237,1.15612001,1.045238768,0.759270782,0.607885922,0.372495495,0.061486666,0.035625914,0.025854313,0.011011115,NA,BOUSSOLE-SPMR,None
BS02-00025,2,BOUSSOLE,2001,9,2,9,28,7.9000001,43.3666992,0,0.058,NaN,0.059,NaN,NaN,NaN,NaN,1.029055271,1.021131374,0.936716181,0.665059647,0.525343998,0.315526709,0.052270211,0.03062891,0.022449608,0.010508459,NA,BOUSSOLE-SPMR,None
BS02-00026,2,BOUSSOLE,2001,9,2,14,14,7.8832998,43.3666992,0,0.058,NaN,0.05609,NaN,NaN,NaN,NaN,1.014103317,1.02320472,0.935395076,0.660475445,0.512666531,0.310221947,0.067895213,0.046153623,0.031889991,0.016204424,NA,BOUSSOLE-SPMR,None
BS02-00027,2,BOUSSOLE,2001,9,2,14,23,7.8832998,43.3666992,0,0.0524667,NaN,0.05866,NaN,NaN,NaN,NaN,1.037032961,1.080099743,1.035922064,0.730362492,0.565213991,0.334032816,0.058039469,0.034794586,0.022583267,0.010634978,NA,BOUSSOLE-SPMR,None
