;Database,COVE-SEAPRISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Comments,Above water measurement Level 1.5 Screened data DATA USAGE: Due to the research and development phase characterizing AERONET Ocean Color. AOT869 was used for T865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Source,AERONET-Ocean Color Data Download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Acknowledgements,PI(s):Brent_Holben brent@aeronet.gsfc.nasa.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Reference,http://aeronet.gsfc.nasa.gov/cgi-bin/type_one_station_seaprism_new?site=COVE_SEAPRISM&nachal=2&level=2&place_code=10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Elevation,37.00m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Missing,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DDS_ID,DDS_NAME,Year,Month,Date,Hour,Minute,Longitude,Latitude,Depth,Chla_hplc,Chla_fluor,Kd490,TSM,acdm443,bbp443,T865,exLwn412,exLwn443,exLwn490,exLwn510,exLwn531,exLwn555,exLwn620,exLwn670,exLwn681,exLwn709,Flag,Campaign,Comments
ID,number,dds_name,YYYY,MM,DD,hh,mm,decimal_degrees,decimal_degrees,metre,mg/m3,mg/m3,1/m,g/m3,1/m,1/m,None,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,BinaryCode,Cruisename,None
String,Integer,String,Long,Integer,Integer,Integer,Integer,Float,Float,Float,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Long,String,String
AS22-00001,22,COVE,2005,11,3,12,48,-75.71,36.9,0,NaN,3.386793,NaN,NaN,NaN,NaN,0.022831,0.168743,0.29399,0.758822,NaN,NaN,0.777897,NaN,0.165248,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00002,22,COVE,2005,11,3,13,18,-75.71,36.9,0,NaN,3.668441,NaN,NaN,NaN,NaN,0.023118,0.26448,0.418073,0.734405,NaN,NaN,0.804445,NaN,0.179142,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00003,22,COVE,2005,11,3,13,59,-75.71,36.9,0,NaN,4.342212,NaN,NaN,NaN,NaN,0.024453,0.343157,0.422269,0.718407,NaN,NaN,0.842686,NaN,0.170579,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00004,22,COVE,2005,11,3,14,20,-75.71,36.9,0,NaN,3.934105,NaN,NaN,NaN,NaN,0.026262,0.377433,0.459834,0.748376,NaN,NaN,0.84946,NaN,0.183345,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00005,22,COVE,2005,11,4,12,48,-75.71,36.9,0,NaN,6.611523,NaN,NaN,NaN,NaN,0.021953,0.044241,0.160592,0.407321,NaN,NaN,0.538629,NaN,0.207396,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00006,22,COVE,2005,11,4,14,20,-75.71,36.9,0,NaN,7.017895,NaN,NaN,NaN,NaN,0.024082,0.237033,0.260175,0.438008,NaN,NaN,0.615129,NaN,0.199343,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00007,22,COVE,2005,11,5,12,48,-75.71,36.9,0,NaN,7.610298,NaN,NaN,NaN,NaN,0.070837,0.125731,0.142754,0.536015,NaN,NaN,0.72724,NaN,0.188226,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00008,22,COVE,2005,11,6,12,50,-75.71,36.9,0,NaN,5.038161,NaN,NaN,NaN,NaN,0.05548,0.19826,0.22124,0.445821,NaN,NaN,0.543683,NaN,0.183191,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00009,22,COVE,2005,11,6,13,18,-75.71,36.9,0,NaN,4.927591,NaN,NaN,NaN,NaN,0.057325,0.174362,0.232124,0.508424,NaN,NaN,0.610177,NaN,0.157196,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00010,22,COVE,2005,11,6,13,59,-75.71,36.9,0,NaN,5.827904,NaN,NaN,NaN,NaN,0.055655,0.166298,0.270633,0.490206,NaN,NaN,0.637975,NaN,0.148968,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00011,22,COVE,2005,11,6,14,20,-75.71,36.9,0,NaN,6.037784,NaN,NaN,NaN,NaN,0.055927,0.238908,0.272376,0.532295,NaN,NaN,0.696483,NaN,0.176711,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00012,22,COVE,2005,11,7,13,18,-75.71,36.9,0,NaN,5.366176,NaN,NaN,NaN,NaN,0.034349,0.125191,0.252519,0.583139,NaN,NaN,0.719306,NaN,0.159121,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00013,22,COVE,2005,11,7,13,59,-75.71,36.9,0,NaN,5.059665,NaN,NaN,NaN,NaN,0.028559,0.21546,0.351157,0.604808,NaN,NaN,0.750733,NaN,0.129607,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00014,22,COVE,2005,11,7,14,20,-75.71,36.9,0,NaN,5.903816,NaN,NaN,NaN,NaN,0.027332,0.213615,0.35398,0.616126,NaN,NaN,0.809144,NaN,0.162619,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00015,22,COVE,2005,11,8,13,59,-75.71,36.9,0,NaN,3.819688,NaN,NaN,NaN,NaN,0.02233,0.126246,0.230001,0.426558,NaN,NaN,0.471912,NaN,0.078663,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00016,22,COVE,2005,11,8,14,20,-75.71,36.9,0,NaN,4.293106,NaN,NaN,NaN,NaN,0.022821,0.169049,0.199667,0.420404,NaN,NaN,0.480524,NaN,0.078256,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00017,22,COVE,2005,11,11,13,19,-75.71,36.9,0,NaN,6.307362,NaN,NaN,NaN,NaN,0.026513,-0.103562,0.047054,0.405114,NaN,NaN,0.497823,NaN,0.087594,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00018,22,COVE,2005,11,12,13,19,-75.71,36.9,0,NaN,5.100516,NaN,NaN,NaN,NaN,0.019732,-0.01783,0.055239,0.240732,NaN,NaN,0.279806,NaN,-0.000077,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00019,22,COVE,2005,11,12,14,1,-75.71,36.9,0,NaN,3.249412,NaN,NaN,NaN,NaN,0.020757,0.062207,0.135854,0.310811,NaN,NaN,0.316542,NaN,0.031899,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00020,22,COVE,2005,11,12,14,20,-75.71,36.9,0,NaN,3.409628,NaN,NaN,NaN,NaN,0.022996,0.13076,0.153058,0.32268,NaN,NaN,0.337324,NaN,0.040489,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00021,22,COVE,2005,11,13,13,19,-75.71,36.9,0,NaN,3.554023,NaN,NaN,NaN,NaN,0.021753,-0.004329,0.067174,0.275366,NaN,NaN,0.279552,NaN,0.015934,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00022,22,COVE,2005,11,13,14,1,-75.71,36.9,0,NaN,1.936695,NaN,NaN,NaN,NaN,0.020214,0.190171,0.280353,0.582459,NaN,NaN,0.485343,NaN,0.124717,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00023,22,COVE,2006,4,19,22,3,-75.71,36.9,0,NaN,1.888476,NaN,NaN,NaN,NaN,0.077613,1.558377,0.446312,0.482558,NaN,NaN,0.438188,NaN,0.280413,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00024,22,COVE,2006,4,20,12,35,-75.71,36.9,0,NaN,3.539752,NaN,NaN,NaN,NaN,0.062349,0.337321,0.508887,0.765933,NaN,NaN,0.899394,NaN,0.174387,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00025,22,COVE,2006,4,20,13,6,-75.71,36.9,0,NaN,3.208823,NaN,NaN,NaN,NaN,0.066826,0.383576,0.492676,0.783644,NaN,NaN,0.885913,NaN,0.173776,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00026,22,COVE,2006,4,20,14,13,-75.71,36.9,0,NaN,3.527705,NaN,NaN,NaN,NaN,0.062444,0.457594,0.55829,0.810324,NaN,NaN,0.949913,NaN,0.16118,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00027,22,COVE,2006,4,20,14,35,-75.71,36.9,0,NaN,3.430523,NaN,NaN,NaN,NaN,0.05621,0.442529,0.564182,0.826302,NaN,NaN,0.958213,NaN,0.172474,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00028,22,COVE,2006,4,20,15,7,-75.71,36.9,0,NaN,3.406231,NaN,NaN,NaN,NaN,0.056415,0.49559,0.588503,0.845371,NaN,NaN,0.97741,NaN,0.174099,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00029,22,COVE,2006,4,20,15,35,-75.71,36.9,0,NaN,3.475905,NaN,NaN,NaN,NaN,0.063789,0.503765,0.609229,0.852784,NaN,NaN,0.993557,NaN,0.174785,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
AS22-00030,22,COVE,2006,4,22,15,7,-75.71,36.9,0,NaN,3.135339,NaN,NaN,NaN,NaN,0.246122,0.074352,0.601139,0.78448,NaN,NaN,0.877016,NaN,0.468791,NaN,NaN,NA,AERONET_SEAPRISM,413_441_489_551_668_T869
