;Database,MVCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Comments,Abovewater measurement Level 1.5 Screened data DATA USAGE: Due to the research and development phase characterizing AERONET Ocean Color. AOT870 was used for T865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Source,AERONET-Ocean Color Data Download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Acknowledgements,PI(s):Douglas_Vandemark doug.vandemark@unh.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Reference,http://aeronet.gsfc.nasa.gov/cgi-bin/type_one_station_seaprism_new?site=MVCO&nachal=2&level=2&place_code=10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Elevation,10.00m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Missing,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DDS_ID,DDS_NAME,Year,Month,Date,Hour,Minute,Longitude,Latitude,Depth,Chla_hplc,Chla_fluor,Kd490,TSM,acdm443,bbp443,T865,exLwn412,exLwn443,exLwn490,exLwn510,exLwn531,exLwn555,exLwn620,exLwn670,exLwn681,exLwn709,Flag,Campaign,Comments
ID,number,dds_name,YYYY,MM,DD,hh,mm,decimal_degrees,decimal_degrees,metre,mg/m3,mg/m3,1/m,g/m3,1/m,1/m,None,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,BinaryCode,Cruisename,None
String,Integer,String,Long,Integer,Integer,Integer,Integer,Float,Float,Float,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Long,String,String
AS21-00001,21,MVCO,2004,2,26,12,59,-70.55,41.3,0,NaN,3.275267,NaN,NaN,NaN,NaN,0.014814,0.204854,0.305005,NaN,NaN,NaN,0.670013,NaN,0.07271,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00002,21,MVCO,2004,2,26,13,31,-70.55,41.3,0,NaN,3.408582,NaN,NaN,NaN,NaN,0.014088,0.195288,0.369533,NaN,NaN,NaN,0.699388,NaN,0.084161,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00003,21,MVCO,2004,2,26,15,28,-70.55,41.3,0,NaN,2.658737,NaN,NaN,NaN,NaN,0.016629,0.292178,0.425378,NaN,NaN,NaN,0.6743,NaN,0.086223,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00004,21,MVCO,2004,2,26,17,7,-70.55,41.3,0,NaN,2.293743,NaN,NaN,NaN,NaN,0.016171,0.339376,0.461761,NaN,NaN,NaN,0.675737,NaN,0.083683,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00005,21,MVCO,2004,2,26,17,28,-70.55,41.3,0,NaN,2.260011,NaN,NaN,NaN,NaN,0.017055,0.342437,0.45978,NaN,NaN,NaN,0.666693,NaN,0.082697,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00006,21,MVCO,2004,2,26,18,7,-70.55,41.3,0,NaN,2.043931,NaN,NaN,NaN,NaN,0.019175,0.332408,0.453401,NaN,NaN,NaN,0.643451,NaN,0.080902,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00007,21,MVCO,2004,2,26,18,28,-70.55,41.3,0,NaN,2.223537,NaN,NaN,NaN,NaN,0.019074,0.313064,0.445658,NaN,NaN,NaN,0.657409,NaN,0.078476,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00008,21,MVCO,2004,2,27,17,28,-70.55,41.3,0,NaN,2.629466,NaN,NaN,NaN,NaN,0.024753,0.393639,0.488531,NaN,NaN,NaN,0.732903,NaN,0.100753,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00009,21,MVCO,2004,2,27,19,6,-70.55,41.3,0,NaN,2.481011,NaN,NaN,NaN,NaN,0.022099,0.327018,0.448147,NaN,NaN,NaN,0.743448,NaN,0.078294,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00010,21,MVCO,2004,2,27,19,28,-70.55,41.3,0,NaN,2.576143,NaN,NaN,NaN,NaN,0.020421,0.295909,0.426709,NaN,NaN,NaN,0.761541,NaN,0.080973,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00011,21,MVCO,2004,2,27,20,56,-70.55,41.3,0,NaN,2.726846,NaN,NaN,NaN,NaN,0.025514,0.196306,0.350834,NaN,NaN,NaN,0.673996,NaN,0.07001,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00012,21,MVCO,2004,2,28,13,29,-70.55,41.3,0,NaN,2.755598,NaN,NaN,NaN,NaN,0.026703,0.294683,0.5053,NaN,NaN,NaN,0.865629,NaN,0.092026,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00013,21,MVCO,2004,2,28,14,28,-70.55,41.3,0,NaN,2.032781,NaN,NaN,NaN,NaN,0.032197,0.353168,0.521232,NaN,NaN,NaN,0.7884,NaN,0.097606,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00014,21,MVCO,2004,2,28,15,28,-70.55,41.3,0,NaN,2.186545,NaN,NaN,NaN,NaN,0.03144,0.361528,0.537572,NaN,NaN,NaN,0.794919,NaN,0.088179,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00015,21,MVCO,2004,2,28,17,28,-70.55,41.3,0,NaN,2.017248,NaN,NaN,NaN,NaN,0.029839,0.362819,0.508341,NaN,NaN,NaN,0.718179,NaN,0.074306,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00016,21,MVCO,2004,2,28,18,6,-70.55,41.3,0,NaN,1.963364,NaN,NaN,NaN,NaN,0.028213,0.367526,0.503842,NaN,NaN,NaN,0.722889,NaN,0.083633,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00017,21,MVCO,2004,2,28,20,57,-70.55,41.3,0,NaN,1.949914,NaN,NaN,NaN,NaN,0.034477,0.22891,0.402908,NaN,NaN,NaN,0.639275,NaN,0.053662,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00018,21,MVCO,2004,3,1,13,26,-70.55,41.3,0,NaN,2.212139,NaN,NaN,NaN,NaN,0.08014,0.23789,0.399357,NaN,NaN,NaN,0.68065,NaN,0.05532,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00019,21,MVCO,2004,3,1,14,3,-70.55,41.3,0,NaN,2.104127,NaN,NaN,NaN,NaN,0.076963,0.351068,0.467204,NaN,NaN,NaN,0.745091,NaN,0.06185,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00020,21,MVCO,2004,3,1,14,27,-70.55,41.3,0,NaN,1.909467,NaN,NaN,NaN,NaN,0.073829,0.367223,0.546282,NaN,NaN,NaN,0.785212,NaN,0.073176,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00021,21,MVCO,2004,3,1,15,27,-70.55,41.3,0,NaN,1.83779,NaN,NaN,NaN,NaN,0.075113,0.415831,0.589952,NaN,NaN,NaN,0.846653,NaN,0.087487,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00022,21,MVCO,2004,3,1,18,6,-70.55,41.3,0,NaN,2.084296,NaN,NaN,NaN,NaN,0.076107,0.349219,0.469589,NaN,NaN,NaN,0.702134,NaN,0.075658,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00023,21,MVCO,2004,3,1,19,6,-70.55,41.3,0,NaN,1.815861,NaN,NaN,NaN,NaN,0.107372,0.284285,0.427222,NaN,NaN,NaN,0.615594,NaN,0.051503,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00024,21,MVCO,2004,3,3,20,5,-70.55,41.3,0,NaN,2.702572,NaN,NaN,NaN,NaN,0.083517,0.386422,0.43384,NaN,NaN,NaN,0.910333,NaN,0.111747,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00025,21,MVCO,2004,3,7,13,24,-70.55,41.3,0,NaN,3.280888,NaN,NaN,NaN,NaN,0.059158,0.310606,0.532706,NaN,NaN,NaN,0.996076,NaN,0.140011,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00026,21,MVCO,2004,3,7,17,26,-70.55,41.3,0,NaN,2.945263,NaN,NaN,NaN,NaN,0.054759,0.477349,0.672147,NaN,NaN,NaN,1.119234,NaN,0.182041,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00027,21,MVCO,2004,3,7,20,5,-70.55,41.3,0,NaN,3.397576,NaN,NaN,NaN,NaN,0.049422,0.53523,0.815251,NaN,NaN,NaN,1.382749,NaN,0.268516,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00028,21,MVCO,2004,3,7,21,24,-70.55,41.3,0,NaN,2.695774,NaN,NaN,NaN,NaN,0.081613,0.3784,0.509295,NaN,NaN,NaN,0.872607,NaN,0.092656,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00029,21,MVCO,2004,3,14,12,26,-70.55,41.3,0,NaN,3.59455,NaN,NaN,NaN,NaN,0.02861,0.372915,0.510336,NaN,NaN,NaN,1.03689,NaN,0.190109,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
AS21-00030,21,MVCO,2004,3,14,12,55,-70.55,41.3,0,NaN,3.682956,NaN,NaN,NaN,NaN,0.035653,0.449412,0.632144,NaN,NaN,NaN,1.167485,NaN,0.220735,NaN,NaN,NA,AERONET_SEAPRISM,412_439_490_555_674
