;Database,Venise-SEAPRISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Comments,Abovewater measurement Level 1.5 Screened data DATA USAGE: Due to the research and development phase characterizing AERONET Ocean Color. AOT870 and AOT868 was used for T865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Source,AERONET-Ocean Color Data Download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Acknowledgements,PI(s):Giuseppe_Zibordi giuseppe.zibordi@jrc.it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Reference,http://aeronet.gsfc.nasa.gov/cgi-bin/type_one_station_seaprism_new?site=Venise&nachal=2&level=2&place_code=10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Elevation,10.00m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Missing,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DDS_ID,DDS_NAME,Year,Month,Date,Hour,Minute,Longitude,Latitude,Depth,Chla_hplc,Chla_fluor,Kd490,TSM,acdm443,bbp443,T865,exLwn412,exLwn443,exLwn490,exLwn510,exLwn531,exLwn555,exLwn620,exLwn670,exLwn681,exLwn709,Flag,Campaign,Comments
ID,number,dds_name,YYYY,MM,DD,hh,mm,decimal_degrees,decimal_degrees,metre,mg/m3,mg/m3,1/m,g/m3,1/m,1/m,None,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,BinaryCode,Cruisename,None
String,Integer,String,Long,Integer,Integer,Integer,Integer,Float,Float,Float,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Long,String,String
AS03-00001,3,VeniceTower,2002,4,19,8,43,12.5083,45.3139,0,NaN,0.810013,NaN,NaN,NaN,NaN,0.111507,0.914974,1.078262,NaN,NaN,NaN,1.101394,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00002,3,VeniceTower,2002,4,19,13,42,12.5083,45.3139,0,NaN,0.885027,NaN,NaN,NaN,NaN,0.12449,0.928055,1.114103,NaN,NaN,NaN,1.154351,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00003,3,VeniceTower,2002,4,20,11,16,12.5083,45.3139,0,NaN,0.905147,NaN,NaN,NaN,NaN,0.16136,1.008537,1.167309,NaN,NaN,NaN,1.205377,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00004,3,VeniceTower,2002,4,20,12,42,12.5083,45.3139,0,NaN,1.037674,NaN,NaN,NaN,NaN,0.142404,0.976625,1.153309,NaN,NaN,NaN,1.262593,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00005,3,VeniceTower,2002,4,20,13,42,12.5083,45.3139,0,NaN,1.06012,NaN,NaN,NaN,NaN,0.147336,0.914004,1.080798,NaN,NaN,NaN,1.22756,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00006,3,VeniceTower,2002,4,22,8,42,12.5083,45.3139,0,NaN,1.237977,NaN,NaN,NaN,NaN,0.141087,0.863434,0.971649,NaN,NaN,NaN,1.184231,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00007,3,VeniceTower,2002,4,22,12,21,12.5083,45.3139,0,NaN,1.107402,NaN,NaN,NaN,NaN,0.117176,0.960542,1.108978,NaN,NaN,NaN,1.252345,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00008,3,VeniceTower,2002,4,22,12,42,12.5083,45.3139,0,NaN,1.14699,NaN,NaN,NaN,NaN,0.118092,0.977513,1.118306,NaN,NaN,NaN,1.25673,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00009,3,VeniceTower,2002,4,22,13,42,12.5083,45.3139,0,NaN,1.126031,NaN,NaN,NaN,NaN,0.121192,0.937169,1.08016,NaN,NaN,NaN,1.220205,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00010,3,VeniceTower,2002,4,23,9,42,12.5083,45.3139,0,NaN,1.103924,NaN,NaN,NaN,NaN,0.111145,0.976814,1.123935,NaN,NaN,NaN,1.240233,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00011,3,VeniceTower,2002,4,23,10,21,12.5083,45.3139,0,NaN,1.114503,NaN,NaN,NaN,NaN,0.100557,0.989296,1.150233,NaN,NaN,NaN,1.260958,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00012,3,VeniceTower,2002,4,23,12,42,12.5083,45.3139,0,NaN,1.051582,NaN,NaN,NaN,NaN,0.077553,0.976485,1.157148,NaN,NaN,NaN,1.250305,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00013,3,VeniceTower,2002,4,23,13,42,12.5083,45.3139,0,NaN,1.046565,NaN,NaN,NaN,NaN,0.064282,0.949764,1.119442,NaN,NaN,NaN,1.229367,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00014,3,VeniceTower,2002,4,25,10,41,12.5083,45.3139,0,NaN,1.053658,NaN,NaN,NaN,NaN,0.070202,1.027714,1.162745,NaN,NaN,NaN,1.300928,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00015,3,VeniceTower,2002,4,28,11,41,12.5083,45.3139,0,NaN,1.558762,NaN,NaN,NaN,NaN,0.070988,1.018824,1.222912,NaN,NaN,NaN,1.670335,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00016,3,VeniceTower,2002,5,5,12,40,12.5083,45.3139,0,NaN,2.016658,NaN,NaN,NaN,NaN,0.07837,0.855743,1.000534,NaN,NaN,NaN,1.530836,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00017,3,VeniceTower,2002,5,6,10,20,12.5083,45.3139,0,NaN,1.703957,NaN,NaN,NaN,NaN,0.067253,1.033265,1.200626,NaN,NaN,NaN,1.704004,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00018,3,VeniceTower,2002,5,6,11,40,12.5083,45.3139,0,NaN,1.642777,NaN,NaN,NaN,NaN,0.065183,1.095888,1.29884,NaN,NaN,NaN,1.800022,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00019,3,VeniceTower,2002,5,6,12,20,12.5083,45.3139,0,NaN,1.652304,NaN,NaN,NaN,NaN,0.05635,1.107815,1.317333,NaN,NaN,NaN,1.83038,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00020,3,VeniceTower,2002,5,6,13,40,12.5083,45.3139,0,NaN,1.590395,NaN,NaN,NaN,NaN,0.055591,1.083911,1.270926,NaN,NaN,NaN,1.738909,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00021,3,VeniceTower,2002,5,7,11,40,12.5083,45.3139,0,NaN,1.748588,NaN,NaN,NaN,NaN,0.076317,1.276745,1.593139,NaN,NaN,NaN,2.226707,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00022,3,VeniceTower,2002,5,7,12,20,12.5083,45.3139,0,NaN,1.745727,NaN,NaN,NaN,NaN,0.081492,1.21782,1.432315,NaN,NaN,NaN,2.094825,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00023,3,VeniceTower,2002,5,7,12,40,12.5083,45.3139,0,NaN,1.628623,NaN,NaN,NaN,NaN,0.080223,1.144133,1.420806,NaN,NaN,NaN,1.958087,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00024,3,VeniceTower,2002,5,12,13,21,12.5083,45.3139,0,NaN,1.810743,NaN,NaN,NaN,NaN,0.287154,0.819536,1.067668,NaN,NaN,NaN,1.675719,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00025,3,VeniceTower,2002,5,13,12,20,12.5083,45.3139,0,NaN,2.224041,NaN,NaN,NaN,NaN,0.17956,1.150727,1.530016,NaN,NaN,NaN,2.782223,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00026,3,VeniceTower,2002,5,13,12,40,12.5083,45.3139,0,NaN,2.387844,NaN,NaN,NaN,NaN,0.17713,1.132968,1.546522,NaN,NaN,NaN,2.820468,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00027,3,VeniceTower,2002,5,13,13,40,12.5083,45.3139,0,NaN,2.602695,NaN,NaN,NaN,NaN,0.165358,1.008157,1.296702,NaN,NaN,NaN,2.566194,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00028,3,VeniceTower,2002,5,14,9,20,12.5083,45.3139,0,NaN,2.736139,NaN,NaN,NaN,NaN,0.14553,0.613109,0.739314,NaN,NaN,NaN,1.409773,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00029,3,VeniceTower,2002,5,15,10,40,12.5083,45.3139,0,NaN,2.353883,NaN,NaN,NaN,NaN,0.068539,0.549679,0.667538,NaN,NaN,NaN,1.177119,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
AS03-00030,3,VeniceTower,2002,5,15,11,14,12.5083,45.3139,0,NaN,2.370937,NaN,NaN,NaN,NaN,0.06952,0.580941,0.675214,NaN,NaN,NaN,1.216977,NaN,NaN,NaN,NaN,NA,AERONET_SEAPRISM,440_555_AOT870
